2025-10-14 17:47:57 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Pniewo 12, 13, 13A, 13B, od 14 do 18, 70966.
2025-10-14 17:47:57 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Łążek 3, 5, 6, 6A.
2025-10-14 17:47:57 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Ostrów 12.
2025-10-14 17:47:57 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Mostki .
2025-10-14 17:47:57 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Boguszyczki 4, Gaj 23, 26, 28, 133/3, Łysek 58, 64, 2/11, 6/1, Wierzbinek 29 A.
2025-10-14 17:47:57 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Osiny od 69 do 77, 77A, 77B, 77c, 78, 78A, 78B, 78C, 78CC, 78d, od 79 do 81, 81A, 82, 83, 83 B, 83A, 84, 302/1, 360/13, 360/16, 360/23, 360/31 (MDZ), 424/7.
2025-10-14 17:47:57 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Mąkoszyce 97, 100, 101, 142a, 144 A, 144 C, 144B, 145, 30540.
2025-10-14 17:47:57 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Perzów , 245/10, 245/11, 245/12, 245/13, 245/2, 245/29, 245/31, 245/5, 392/24 (MDZ), 392/6 (MDZ).
2025-10-14 17:47:57 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Skoroszów 1, 1A, 1B, 463/2 (MDZ).
2025-10-14 17:47:57 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Komorów 147, od 149 do 153.
2025-10-14 17:47:57 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Bogdaj 37, Szklarka Śląska 1, 3, 5, 6, 402.
2025-10-14 17:47:57 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Dąbrowa 1, 1a, od 2 do 8, 8A, 10, 12, 14, od 16 do 20, 20A, 20B, 21, od 23 do 28, 28A, 29, 29a, 30, 32, 45, 201/4 (GPO), 221/3 (GPO), 234/1 (GPO), 234/4 (GPO), 248,249 (GPO), 275 (GPO), 281/1 (GPO), 281/3 (MDZ), 288 (GPO), Dąbrowa-268 (GPO), Dąbrowa-95/1 (GPO).
2025-10-14 17:47:57 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Grabienice od 1 do 3, 3a, 3D, od 5 do 7, 7A, 8, 10, 49, 53, 53a, 54, 54a, od 55 do 57, 59, 60, 62, 63, 63a, 63B, 64, 64A, 64B, 27/3, 27/4 (GPO), dz. 105, Grabienice-28/5 , W-701, Rzgów Drugi 25, 26, 220 (GPO).
